id	en_sentence	ta_sentence	offense_label	en_pos	en_dep	ta_pos	ta_dep
511	You are irrelevant here	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV	nsubj aux amod advmod	DET PRON VERB	nsubj obj root
512	What a genius you are 🙄	நீ எவ்வளவு பெரிய புத்திசாலி	sarcasm	INTJ PROPN ADJ PRON AUX ADP	amod advmod det nsubj aux punct	PRON ADJ ADP ADV	nsubj case advmod amod
513	What a genius you are	நீ எவ்வளவு பெரிய புத்திசாலி	sarcasm	DET AUX ADV PRON AUX	compound nsubj advmod nsubj aux	PRON ADP NOUN ADJ	nsubj obj compound nsubj
514	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX VERB NOUN INTJ	nsubj aux obj nsubj det	PRON VERB NOUN PROPN	nsubj root advmod det
515	You never learn, do you	நீ ஒருபோதும் கற்றுக்கொள்வதில்லை, இல்லையா	harassment_bullying	PRON ADV VERB NOUN PRON	nsubj advmod root nsubj nsubj	PRON VERB ADJ PROPN	obj obj obj advmod
516	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	ADV ADP AUX PART	obj obj aux obj	PRON VERB ADJ VERB	obj nsubj amod root
517	Watch your step	உன் நடையை கவனமாக வைத்துக்கோ	threat	VERB VERB INTJ	root advmod amod	VERB PART ADP PROPN	obj nsubj case amod
518	Stop being so rude, got it?	இவ்வளவு முறைகேடாக இருக்காதே	profanity	VERB ADJ ADP INTJ ADJ ADV	nsubj root nsubj vocative root det	DET ADV DET	obj case advmod
519	Oh great, another brilliant plan	அப்பு அருமை, இன்னொரு பிரமாதமான திட்டம்	sarcasm	VERB ADJ ADV ADJ INTJ	obj amod advmod amod compound	PART ADP ADP NOUN VERB	nsubj compound compound compound root
520	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX AUX VERB AUX ADP ADJ	nsubj aux vocative amod nsubj cop amod	PRON VERB ADJ DET DET	nsubj nsubj nsubj advmod nsubj
521	Those people do not belong here	அந்த மக்களுக்கு இங்கு இடம் இல்லை	hate_speech	DET ADP DET ADP VERB ADV	det root cop nsubj root advmod	PART NOUN ADV VERB ADP	det advmod obj obj nsubj
522	This is a dumb move, got it?	இது முட்டாள்தனமான செயல்	profanity	DET AUX PART ADJ PART ADV AUX	det aux advmod amod case det nsubj	VERB PROPN ADV	root det det
523	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET PROPN	nsubj root det nsubj	NOUN VERB PART VERB	obj obj compound root
524	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	DET PART ADJ	amod nsubj nsubj	DET ADP NOUN	obj case nsubj
525	You never learn, do you	நீ ஒருபோதும் கற்றுக்கொள்வதில்லை, இல்லையா	harassment_bullying	PRON ADV VERB ADV PRON	nsubj advmod root compound nsubj	PRON VERB ADP ADV	nsubj nsubj obj compound
526	You are irrelevant here	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV	nsubj aux amod advmod	PROPN PRON VERB	obj obj root
527	Listen, Watch your step	உன் நடையை கவனமாக வைத்துக்கோ	threat	PROPN VERB AUX AUX	advmod root case cop	VERB ADJ ADV ADV	root nsubj amod nsubj
528	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON PRON VERB NOUN	nsubj compound root advmod	NOUN VERB VERB	compound obj root
529	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	AUX INTJ AUX ADV	advmod root aux det	PRON VERB ADJ VERB	nsubj nsubj advmod root
530	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	DET VERB PART VERB	amod root punct cop	DET VERB	compound root
531	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	PART AUX PRON AUX ADJ	amod compound nsubj aux amod	PRON VERB ADJ VERB VERB	obj obj det obj root
532	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON AUX VERB INTJ	nsubj root root advmod	NOUN VERB VERB	advmod obj root
533	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB VERB INTJ ADV AUX	root obj root case nsubj	NOUN VERB ADV PROPN	compound root compound compound
534	Watch your step	உன் நடையை கவனமாக வைத்துக்கோ	threat	VERB PRON PRON	root case nsubj	VERB PART DET PROPN	nsubj advmod det compound
535	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	VERB ADP PRON AUX ADJ	cop root nsubj aux amod	PRON VERB NOUN VERB VERB	obj obj det nsubj root
536	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	NOUN VERB VERB NOUN	case root case root	DET VERB	case root
537	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	PART VERB ADP ADJ	obj root punct obj	ADV VERB	obj root
538	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	PRON PRON AUX INTJ	compound vocative aux det	PRON VERB ADP VERB	obj root det root
539	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX ADJ ADJ PRON	det aux case amod vocative	VERB ADP DET	root det obj
540	Listen, Watch your step	உன் நடையை கவனமாக வைத்துக்கோ	threat	ADJ VERB ADP DET	compound root nsubj obj	VERB NOUN ADV NOUN	root advmod det det
541	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	VERB VERB PRON ADV	det nsubj nsubj advmod	PROPN PRON VERB ADJ	compound nsubj root amod
542	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX VERB ADV ADP	nsubj aux punct root det	PRON VERB PROPN DET	nsubj nsubj case nsubj
543	This is a dumb move, got it?	இது முட்டாள்தனமான செயல்	profanity	DET AUX INTJ ADJ PART PRON PART	det aux compound amod vocative advmod det	VERB ADV PROPN	nsubj compound obj
544	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET AUX AUX AUX ADJ	det advmod aux advmod amod	VERB ADV VERB VERB	nsubj amod obj root
545	We don't need your input, got it?	உன் கருத்து எங்களுக்கு தேவையில்லை	disrespect_dismissive	PRON PART VERB DET ADP DET INTJ	nsubj amod root amod nsubj nsubj obj	VERB VERB ADP NOUN	root nsubj det nsubj
546	Fantastic job, totally flawless 🙄	அற்புத வேலை, முற்றிலும் குறையின்றி	sarcasm	ADJ PROPN VERB PART ADP	amod compound compound cop root	ADV VERB VERB PART	obj obj obj advmod
547	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB ADP ADV AUX PRON	root cop amod det obj	ADJ VERB ADJ ADJ	det root nsubj det
548	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	ADJ VERB PRON ADV	obj nsubj nsubj advmod	ADP PRON VERB ADJ	nsubj obj nsubj amod
549	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON VERB VERB DET	nsubj compound root obj	PART VERB VERB	det root root
550	You never learn, do you	நீ ஒருபோதும் கற்றுக்கொள்வதில்லை, இல்லையா	harassment_bullying	PRON ADV VERB AUX PRON	nsubj advmod root amod nsubj	PRON VERB PART ADP	obj nsubj compound advmod
551	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	INTJ VERB DET INTJ	compound vocative amod nsubj	NOUN ADJ ADP	advmod obj amod
552	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	ADV ADJ DET PRON	punct cop det advmod	DET ADV VERB	advmod obj root
553	You are irrelevant here	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV	nsubj aux amod advmod	ADV PRON VERB	det nsubj root
554	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB PRON PROPN PRON ADJ	root case root amod cop	NOUN VERB DET ADP	case nsubj amod compound
555	Lovely, exactly what we needed	சூப்பர், நமக்குத் தேவைப்பட்டதே	sarcasm	ADJ ADV VERB PRON PART	amod advmod nsubj nsubj vocative	ADP NOUN PART	amod advmod det
556	Your opinion doesn't matter	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	DET PROPN PART VERB	vocative advmod case punct	VERB ADV PROPN	root obj advmod
557	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB PRON INTJ PRON NOUN	root compound cop nsubj obj	ADJ VERB NOUN DET	det obj advmod compound
558	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON ADJ VERB VERB	nsubj det root compound	PART VERB VERB	case root root
559	Stay out of this	இதிலிருந்து விலகி இரு	disrespect_dismissive	AUX AUX PROPN DET	amod case nsubj det	VERB ADP ADJ	obj amod case
560	Your opinion doesn't matter	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	PRON DET INTJ ADV	case amod det obj	VERB ADP DET	obj amod obj
561	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON ADP VERB ADP	nsubj root root nsubj	ADJ VERB VERB	det nsubj root
562	What a genius you are	நீ எவ்வளவு பெரிய புத்திசாலி	sarcasm	VERB DET ADJ PRON AUX	compound punct vocative nsubj aux	PRON PART DET ADV	obj obj amod det
563	Your opinion doesn't matter	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	PRON INTJ INTJ DET	cop compound cop nsubj	VERB ADP NOUN	nsubj amod amod
564	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET PRON	nsubj root det amod	PART VERB ADJ VERB	advmod obj obj root
565	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	ADJ VERB INTJ VERB	case root amod root	ADJ VERB	advmod root
566	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET INTJ	nsubj root det compound	DET VERB ADP VERB	det nsubj det root
567	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	ADP PRON PRON ADP	compound nsubj compound case	DET DET VERB	case det root
568	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	PART PRON PRON ADV	cop compound nsubj advmod	PROPN PRON VERB DET	det nsubj root amod
569	You are stupid, got it?	நீ முட்டாள்	profanity	PRON AUX ADJ AUX INTJ	nsubj aux amod amod vocative	PRON ADV	obj amod
570	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	PROPN PRON PROPN VERB	compound amod advmod det	PROPN ADV VERB	det compound root
571	I will deal with you tonight	இன்றிரவு உன்னுடன் பார்க்கிறேன்	threat	PRON AUX VERB AUX PRON ADV	nsubj aux root root nsubj advmod	PROPN VERB VERB	nsubj root root
572	Who asked you	யார் உன்னிடம் கேட்டார்கள்	disrespect_dismissive	DET DET PRON	advmod vocative nsubj	NOUN VERB ADJ	amod obj advmod
573	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	PROPN ADP DET PRON	punct amod det punct	PART DET VERB	case compound root
574	We don't need your input	உன் கருத்து எங்களுக்கு தேவையில்லை	disrespect_dismissive	PRON ADP VERB NOUN PRON	nsubj vocative root obj punct	VERB VERB ADP DET	root nsubj det det
575	We will make you pay	நாங்கள் உன்னால் கட்டவைக்கிறோம்	threat	PRON AUX VERB PRON VERB	nsubj aux root nsubj root	PRON ADP VERB	nsubj nsubj root
576	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX PRON ADJ VERB	det aux case amod root	VERB ADJ ADP	nsubj det compound
577	Your opinion doesn't matter	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	AUX ADJ ADP PROPN	case vocative compound case	VERB PROPN ADP	nsubj advmod advmod
578	Your opinion doesn't matter	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	NOUN PART AUX PRON	compound root case root	VERB ADV PART	obj compound amod
579	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	ADP INTJ PART DET	advmod case punct compound	DET ADV PROPN	nsubj nsubj compound
580	You are irrelevant here	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV	nsubj aux amod advmod	PART PRON VERB	case obj root
581	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	INTJ ADP AUX INTJ	case vocative aux compound	PRON VERB PART VERB	obj nsubj compound root
582	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON ADV	obj det
583	Your opinion doesn't matter	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	PART ADP DET PRON	case root punct cop	VERB PROPN PART	obj amod nsubj
584	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	ADJ DET VERB ADV	nsubj punct cop amod	PROPN ADJ VERB	case obj root
585	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	NOUN NOUN AUX ADJ	amod det aux obj	PRON VERB ADJ VERB	nsubj obj amod root
586	Listen, Watch your step	உன் நடையை கவனமாக வைத்துக்கோ	threat	ADV VERB NOUN PROPN	amod root case det	VERB PROPN PROPN ADJ	root advmod nsubj det
587	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	ADJ ADP PRON AUX ADJ	root vocative nsubj aux amod	PRON VERB NOUN VERB VERB	obj obj obj root root
588	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	ADJ AUX AUX DET	case cop aux advmod	PRON VERB NOUN VERB	obj obj det root
589	Stay out of this	இதிலிருந்து விலகி இரு	disrespect_dismissive	PROPN ADJ PROPN DET	compound amod punct det	VERB PROPN ADJ	obj det obj
590	Shut up, idiot, got it?	வாயை மூடு, முட்டாள்	profanity	INTJ INTJ PROPN ADP PROPN	amod vocative punct root compound	NOUN NOUN PART	amod case obj
591	You are irrelevant here, got it?	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV VERB PROPN	nsubj aux amod advmod compound vocative	ADP PRON VERB	amod obj root
592	Fantastic job, totally flawless	அற்புத வேலை, முற்றிலும் குறையின்றி	sarcasm	ADJ ADP AUX ADV	amod advmod root det	DET VERB VERB ADV	case nsubj obj det
593	Oh great, another brilliant plan 🙄	அப்பு அருமை, இன்னொரு பிரமாதமான திட்டம்	sarcasm	ADJ ADJ ADV ADJ VERB PROPN	punct amod advmod amod nsubj punct	NOUN PROPN NOUN PART VERB	case compound obj advmod root
594	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON NOUN	obj obj
595	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET NOUN	nsubj root det compound	PROPN VERB ADP VERB	det obj obj root
596	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX PROPN NOUN PRON VERB PART	nsubj aux vocative vocative nsubj det vocative	PRON VERB PART ADJ NOUN	obj root obj det compound
597	Who asked you	யார் உன்னிடம் கேட்டார்கள்	disrespect_dismissive	ADJ DET PRON	det case nsubj	PROPN VERB PROPN	nsubj nsubj advmod
598	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	ADV ADJ AUX ADV	advmod advmod aux cop	PRON VERB PROPN VERB	nsubj nsubj compound root
599	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	PROPN INTJ ADV PART	obj vocative punct case	PROPN ADJ DET	amod obj compound
600	Oh great, another brilliant plan	அப்பு அருமை, இன்னொரு பிரமாதமான திட்டம்	sarcasm	ADP ADJ ADV ADJ PART	amod amod advmod amod obj	DET ADJ DET ADJ VERB	amod obj advmod advmod root
601	People like them ruin everything	அவர்களைப் போன்றவர்கள் அனைத்தையும் கெடுப்பார்கள்	hate_speech	ADJ VERB ADV VERB VERB	amod root advmod root punct	ADP NOUN VERB PART	det det nsubj obj
602	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB DET PRON PRON ADP	root case obj vocative nsubj	PART VERB ADJ DET	advmod root obj compound
603	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON ADJ VERB ADV	nsubj obj root punct	DET VERB VERB	det root root
604	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	DET VERB PRON ADJ	case det punct obj	NOUN ADP PART	obj compound case
605	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX PROPN AUX AUX NOUN NOUN	nsubj aux amod amod compound compound compound	PRON VERB PART PART ADJ	obj obj compound amod advmod
606	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON ADJ VERB AUX	nsubj compound root amod	DET VERB VERB	advmod obj root
607	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON NOUN	obj compound
608	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX ADJ PRON INTJ DET ADJ	nsubj aux punct advmod compound cop obj	PRON VERB NOUN ADP DET	nsubj obj case obj det
609	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET ADV	nsubj root det nsubj	DET VERB ADP VERB	nsubj root amod root
610	Who asked you	யார் உன்னிடம் கேட்டார்கள்	disrespect_dismissive	PART AUX PRON	det vocative nsubj	ADP VERB ADV	obj root det
611	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET VERB AUX ADP ADJ	det amod aux advmod amod	VERB ADJ VERB VERB	root amod obj root
612	Who asked you	யார் உன்னிடம் கேட்டார்கள்	disrespect_dismissive	ADV ADV PRON	det cop nsubj	ADJ VERB PROPN	compound obj advmod
613	Fantastic job, totally flawless	அற்புத வேலை, முற்றிலும் குறையின்றி	sarcasm	ADJ INTJ DET ADJ	amod case det obj	ADV VERB VERB NOUN	obj nsubj nsubj obj
614	Fantastic job, totally flawless	அற்புத வேலை, முற்றிலும் குறையின்றி	sarcasm	ADJ VERB VERB ADP	amod advmod nsubj case	ADJ VERB VERB NOUN	compound nsubj root amod
615	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	VERB ADJ AUX ADP	advmod root aux cop	PRON VERB PROPN VERB	nsubj root compound root
616	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET PRON	nsubj root det nsubj	PROPN VERB NOUN VERB	amod root compound root
617	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	AUX VERB PRON ADV	cop root obj compound	ADP ADV VERB	compound obj root
618	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	AUX ADJ PRON AUX ADJ	amod root nsubj aux amod	PRON VERB ADP VERB VERB	nsubj obj amod obj root
619	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX ADP PROPN PROPN	nsubj aux amod punct amod	PRON VERB ADP ADV	obj root advmod case
620	You will regret this	இதற்காக நீ வருந்துவாய்	threat	PRON AUX VERB DET	nsubj aux root det	PROPN PRON ADV	obj obj case
621	You never learn, do you	நீ ஒருபோதும் கற்றுக்கொள்வதில்லை, இல்லையா	harassment_bullying	PRON ADV VERB PROPN PRON	nsubj advmod root cop nsubj	PRON VERB PART ADV	obj obj det compound
622	Stop being so rude, got it?	இவ்வளவு முறைகேடாக இருக்காதே	profanity	AUX AUX AUX ADJ NOUN PRON	cop case compound punct cop advmod	ADV ADJ ADV	compound amod obj
623	This is a dumb move, got it?	இது முட்டாள்தனமான செயல்	profanity	DET AUX ADV ADJ ADV PRON VERB	det aux root amod compound punct advmod	VERB PART ADV	obj amod nsubj
624	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	PRON ADJ PRON ADV	punct advmod nsubj advmod	ADP PRON VERB PROPN	case obj root amod
625	Your opinion doesn't matter, got it?	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	VERB PART INTJ VERB NOUN NOUN	cop amod advmod advmod advmod det	VERB NOUN ADV	root amod case
626	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET ADP AUX PART ADJ	det root aux cop amod	VERB ADP VERB VERB	root compound root root
627	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	VERB ADV AUX ADP	compound root aux advmod	PRON VERB ADP VERB	obj nsubj advmod root
628	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	AUX INTJ AUX	obj root root	PART ADJ DET	det nsubj case
629	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	ADP VERB PART DET	root vocative compound compound	PROPN ADV VERB	obj nsubj root
630	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET INTJ AUX ADV ADJ	det cop aux punct amod	VERB NOUN VERB VERB	nsubj nsubj nsubj root
631	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX AUX ADJ PART	det aux root amod root	VERB ADV ADJ	nsubj obj obj
632	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET PART	nsubj root det root	NOUN VERB NOUN VERB	advmod root compound root
633	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET VERB	nsubj root det root	PROPN VERB PART VERB	case obj case root
634	Shut up, idiot, got it?	வாயை மூடு, முட்டாள்	profanity	ADP AUX DET INTJ PART	vocative det advmod case vocative	PART ADP PROPN	amod advmod obj
635	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB PROPN NOUN VERB ADJ	root obj vocative vocative vocative	ADV VERB ADJ NOUN	compound root case case
636	Sure, that will definitely work	ஆமாம், அது கண்டிப்பாக வேலை செய்யும்	sarcasm	ADP DET AUX ADV VERB	cop det aux amod case	VERB VERB PROPN VERB VERB	nsubj root case root root
637	We don't need your input	உன் கருத்து எங்களுக்கு தேவையில்லை	disrespect_dismissive	PRON ADP VERB DET ADV	nsubj amod root advmod obj	VERB VERB NOUN ADP	obj root nsubj case
638	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON PART	obj obj
639	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	INTJ PROPN PRON ADJ	root nsubj compound vocative	ADP ADJ ADP	advmod nsubj compound
640	We don't need your input, got it?	உன் கருத்து எங்களுக்கு தேவையில்லை	disrespect_dismissive	PRON NOUN VERB PRON PROPN AUX PRON	nsubj root root nsubj punct compound amod	VERB VERB DET PROPN	root root compound obj
641	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	ADP AUX AUX PRON	amod amod aux root	PRON VERB ADJ VERB	obj nsubj compound root
642	You never learn, do you	நீ ஒருபோதும் கற்றுக்கொள்வதில்லை, இல்லையா	harassment_bullying	PRON ADV VERB INTJ PRON	nsubj advmod root case nsubj	PRON VERB DET NOUN	obj obj advmod obj
643	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET VERB	nsubj root det punct	ADJ VERB PART VERB	case obj obj root
644	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	ADP PROPN PROPN ADV	vocative obj compound cop	PART DET VERB	amod amod root
645	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX ADP DET ADJ	nsubj aux advmod compound punct	PRON VERB NOUN ADP	nsubj nsubj compound det
646	Your opinion doesn't matter	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	PART VERB PART AUX	amod root nsubj obj	VERB PROPN ADV	nsubj nsubj obj
647	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX NOUN DET DET ADJ PRON	nsubj aux det punct vocative cop amod	PRON VERB DET PART PART	nsubj nsubj det det advmod
648	Lovely, exactly what we needed	சூப்பர், நமக்குத் தேவைப்பட்டதே	sarcasm	ADJ ADV ADJ PRON NOUN	amod advmod nsubj nsubj obj	DET ADV ADP	compound det advmod
649	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	PROPN ADJ PRON AUX ADJ	case advmod nsubj aux amod	PRON VERB PROPN VERB VERB	nsubj obj det root root
650	I will deal with you tonight	இன்றிரவு உன்னுடன் பார்க்கிறேன்	threat	PRON AUX VERB AUX PRON ADV	nsubj aux root cop nsubj advmod	ADP VERB VERB	advmod nsubj root
651	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	PROPN ADP PRON AUX ADJ	compound obj nsubj aux amod	PRON VERB ADJ VERB VERB	obj nsubj case nsubj root
652	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	PRON DET ADJ AUX	vocative obj vocative cop	DET ADV VERB	case obj root
653	You will regret this	இதற்காக நீ வருந்துவாய்	threat	PRON AUX VERB DET	nsubj aux root det	ADV PRON NOUN	case obj nsubj
654	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET DET	nsubj root det amod	PART VERB ADP VERB	compound root compound root
655	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX ADP PROPN NOUN	nsubj aux case punct vocative	PRON VERB NOUN DET	obj obj nsubj nsubj
656	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	PROPN AUX PART NOUN	advmod cop root case	ADJ ADV VERB	obj amod root
657	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON DET	nsubj compound
658	Fantastic job, totally flawless	அற்புத வேலை, முற்றிலும் குறையின்றி	sarcasm	ADJ PRON ADP ADJ	amod vocative det nsubj	ADP VERB VERB NOUN	amod nsubj obj case
659	Who asked you	யார் உன்னிடம் கேட்டார்கள்	disrespect_dismissive	VERB ADJ PRON	det advmod nsubj	ADP VERB ADP	amod root compound
660	Sure, that will definitely work	ஆமாம், அது கண்டிப்பாக வேலை செய்யும்	sarcasm	DET DET AUX PART ADP	advmod det aux punct nsubj	VERB VERB DET VERB VERB	root root obj root root
661	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX PROPN DET ADV PROPN PRON	nsubj aux root cop det punct root	PRON VERB NOUN DET DET	obj nsubj amod case obj
662	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET VERB	nsubj root det det	DET VERB PROPN VERB	obj nsubj advmod root
663	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON PROPN	nsubj case
664	Stay out of this, got it?	இதிலிருந்து விலகி இரு	disrespect_dismissive	INTJ ADV ADV DET PRON DET	obj cop case det obj vocative	VERB ADJ ADP	obj amod case
665	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	DET DET AUX PROPN	punct advmod aux cop	PRON VERB PROPN VERB	obj obj case root
666	You always mess things up	நீ எப்போதும் விஷயங்களை கெடுப்பாய்	harassment_bullying	PRON ADV AUX PROPN NOUN	nsubj advmod root vocative vocative	PRON VERB ADV ADV	obj nsubj det nsubj
667	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	PART PRON PART ADV	punct punct nsubj vocative	ADP DET VERB	nsubj compound root
668	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON DET	nsubj amod
